patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Lâm Mai Bảo Lê,933670020395,1950s,0575946632,janedang@example.org,"06 Phạm Làng
JohnXã, 596709",Khỏe mạnh,5.37,Thành Phú Phạm,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Tùng Lê,590254835235,1940s,0955875416,jane92@example.org,"8 Phạm Ngõ
Huyện JaneThành phố, 891020",Tiểu đường,11.77,Chị Hải Mai,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Duyên Nguyễn,836797898502,1960s,0556983026,john86@example.net,"918 John Ngõ
JaneXã, 155182",Tim mạch,5.28,Minh Mai Bảo Vũ,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Hà Bùi,197912033007,1970s,0882410918,duongjohn@example.org,"0 Vũ Tổ
JohnQuận, 455593",Tim mạch,5.31,Ông Huy Vũ,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bảo Hữu Hoàng,397080714822,1950s,0306089287,janemai@example.net,"431 Jane Khu
Thành phố JaneQuận, 123538",Tiểu đường,4.8,Phương Lê,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Chị Nhật Bùi,549581343430,1960s,0322104709,ttran@example.org,"25 Vũ Ngõ
JohnThành phố, 121180",Tiểu đường,11.61,Nhật Lê,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Bà Lan Trần,748113104084,1930s,0903778502,rtran@example.net,"56 Đặng Dãy
JohnQuận, 652392",Tim mạch,5.54,Huy Phạm,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Quý cô Hà Bùi,685134525548,1940s,0391482939,john39@example.net,"92 Bùi Hẻm
JohnThành phố, 268164",Tim mạch,7.22,Bà Vân Bùi,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Quý ông Phúc Trần,317112785593,2000s,0760585844,qpham@example.net,"2 Bùi Khu
Thị xã JohnXã, 107669",Huyết áp cao,5.87,Quý ông Tú Hoàng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Hưng Bùi,481345771140,1960s,0731437104,janenguyen@example.net,"86 Jane Hẻm
JohnQuận, 965943",Khỏe mạnh,9.69,Bà Thảo Hoàng,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Bà Vân Lê,902481083840,1940s,0923500259,kpham@example.com,"68 John Tổ
JanePhường, 369144",Huyết áp cao,6.95,Cô Hà Nguyễn,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Quý cô Hương Trần,139104215255,2000s,0362919239,jane93@example.org,"5 John Làng
JaneXã, 315461",Tiểu đường,9.86,Dương Lê,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Nhật Xuân Bùi,550339859931,1960s,0992560280,ihoang@example.net,"131 Jane Khu
JaneQuận, 881378",Tiểu đường,8.76,Thành Bùi,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Bà Bảo Lê,355426388138,1960s,0350655001,yhoang@example.net,"23 John Ngõ
JohnXã, 459720",Tiểu đường,8.07,Chị Hải Trần,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Kim Trần,003247102202,1990s,0329952431,johnnguyen@example.net,"5 Jane Tổ
Quận JohnQuận, 893167",Tiểu đường,9.81,Khoa Mai,02/03/2026
