patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,104332181960,26/06/1954,0313389083,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Khỏe mạnh,5.37,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,940265423511,27/08/1948,0815594078,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tiểu đường,11.77,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Phúc Phú Đặng,618495931034,03/01/1964,0331647525,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Tim mạch,5.28,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quý ông Bảo Lê,419283276483,18/07/1971,0703056413,johnmai@example.net,"6 Phạm Hẻm
JohnThành phố, 214975",Tim mạch,5.31,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bác Tùng Nguyễn,767242388496,31/01/1951,0965328710,jane14@example.com,"4 John Khu
Quận JaneQuận, 665579",Tiểu đường,4.8,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,269166978480,10/04/1968,0384514627,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,11.61,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,482814893252,10/05/1938,0980957015,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tim mạch,5.54,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,391171822782,12/11/1942,0789638346,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tim mạch,7.22,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Chị Hồng Dương,871331509839,02/01/2001,0501031051,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Huyết áp cao,5.87,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,738299737631,13/10/1960,0365667010,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,9.69,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,133387262473,06/02/1949,0378108013,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Huyết áp cao,6.95,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,736026064746,25/12/2001,0972343098,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tiểu đường,9.86,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,009788208121,31/01/1964,0913619399,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tiểu đường,8.76,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,699854353462,07/10/1965,0775107991,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Tiểu đường,8.07,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,842513542784,21/08/1994,0980841241,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Tiểu đường,9.81,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,244935348740,08/08/1961,0364005242,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Khỏe mạnh,8.19,Anh Minh Dương,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Cô Hạnh Mai,680112805982,10/02/1981,0820450533,phamjane@example.org,"037 Jane Số
Thị xã JaneThị xã, 355836",Tiểu đường,6.51,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,869232260256,04/01/1952,0542160733,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,6.47,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,330365414586,29/05/1967,0950142940,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Tiểu đường,8.57,Quý cô Hồng Hoàng,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,556981693406,19/02/1976,0388356159,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tim mạch,9.14,Nhật Xuân Dương,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Xuân Bùi,148465648236,08/03/1939,0829946804,buijohn@example.com,"53 Đặng Tổ
JaneThị xã, 364525",Tim mạch,5.29,Nhật Nguyễn,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Quang Quang Nguyễn,995777387214,19/09/1939,0995134332,johnnguyen@example.net,"19 Jane Khu
JohnXã, 736745",Tiểu đường,3.89,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,791769367632,18/07/1968,0316328708,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Huyết áp cao,11.3,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,172788957986,18/04/2001,0972774348,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Khỏe mạnh,8.83,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,471434558122,21/10/2005,0562316658,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Khỏe mạnh,7.03,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,366909670546,31/03/1997,0888937346,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Khỏe mạnh,3.75,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,562729806990,03/04/1975,0362720465,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Huyết áp cao,7.36,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,564641708053,13/08/1951,0300330923,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Huyết áp cao,7.53,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,193745299124,08/12/1939,0390496631,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Huyết áp cao,4.37,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,491905865185,14/04/1999,0367165726,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Huyết áp cao,9.74,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,498776945314,25/10/1994,0837996507,etran@example.com,"1 Jane Số
JanePhường, 519904",Tim mạch,5.05,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,354549480831,14/05/1998,0567837770,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Tiểu đường,6.0,An Hoàng,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Vân Bùi,634957885685,06/03/1948,0774443135,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Tiểu đường,9.81,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,233749894134,01/10/1981,0552408240,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tiểu đường,8.2,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,271094777520,13/07/1940,0771167190,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Huyết áp cao,4.77,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,941318699938,12/06/1967,0877496499,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Tiểu đường,8.68,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,133412328120,08/04/1968,0879740344,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Khỏe mạnh,4.11,Nhật Đức Dương,14/06/2026
627b41a1-ffd6-4232-b2ff-e2944d57d880,Ông Quang Bùi,349361832421,06/05/1984,0324994717,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tim mạch,9.45,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,488771906594,17/12/1979,0313990490,mle@example.org,"8 Lê Khu
JanePhường, 455168",Huyết áp cao,7.5,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,742967175655,12/03/1989,0325674680,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Khỏe mạnh,4.25,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,451680876038,08/07/1954,0797703482,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tim mạch,7.22,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,710932480861,18/08/1967,0517127484,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Khỏe mạnh,10.6,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,737826398214,17/11/1935,0858404499,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Khỏe mạnh,10.85,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,787558867533,03/05/1950,0963605766,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Huyết áp cao,7.71,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,028951718702,19/04/2004,0821745961,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Tim mạch,10.74,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,865780913431,07/03/1948,0811724005,vtran@example.net,"0 Trần Số
JanePhường, 153945",Tiểu đường,5.99,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,562386922219,22/02/1983,0893792374,john49@example.org,"4 John Khu
JaneHuyện, 106402",Khỏe mạnh,5.67,Chị Khoa Bùi,14/01/2026
